estab_id,cnpj,nome,categoria,latitude,longitude,qtd_concorrentes_1km,faturamento_medio_categoria,volume_faturamento_vr,faturamento_previsto_modelo
ESTAB_021,45351479000174,Burger Master 5,Self-Service,-23.550284442904896,-46.66194665625655,3,30931.588888888888,28274.33,29538.609300000033
ESTAB_022,95758349000174,Grão Gourmet 2,Pizzaria,-23.565182584422264,-46.66605352892741,2,46147.81615384615,50386.25,48205.41860000002
ESTAB_023,81182864000110,Grão Gourmet 3,Japonês,-23.575815697728423,-46.64302704151206,0,65669.97285714286,70774.38,68756.19669999991
ESTAB_024,51273847000140,Sabor do Ponto 2,Cafeteria,-23.54799151664106,-46.668330396437966,1,15316.479,16623.16,15932.811999999987
ESTAB_025,75228535000118,Sakura Premium 2,Pizzaria,-23.556607475317577,-46.642494539608855,5,46147.81615384615,50385.48,49578.180100000005
ESTAB_026,32162965000143,Sakura Premium 5,Japonês,-23.547469112819776,-46.64303259520994,3,65669.97285714286,59346.49,66949.44559999992
ESTAB_027,36998038000149,Fornaria Paulista 3,Japonês,-23.54941157746071,-46.65735541575827,1,65669.97285714286,60115.83,66029.98179999994
ESTAB_028,43273328000138,Bella Pizza 3,Self-Service,-23.55875073844628,-46.663996558022106,2,30931.588888888888,26425.14,27593.745600000006
ESTAB_029,39557077000110,Bella Pizza 1,Pizzaria,-23.57437799015669,-46.66995761125841,1,46147.81615384615,48781.57,46755.78589999998
ESTAB_030,54349361000119,Sakura Premium 2,Hamburgueria,-23.55633066665111,-46.66447289577889,1,40208.402727272725,44609.62,42009.70860000007
ESTAB_031,27758595000183,Grão Gourmet 4,Pizzaria,-23.55286141727128,-46.646675090067006,4,46147.81615384615,43736.09,46965.44089999997
ESTAB_032,35556386000122,Bella Pizza 4,Hamburgueria,-23.5636926413094,-46.6568892599589,2,40208.402727272725,41447.94,41363.02609999998
ESTAB_033,17270733000196,Bella Pizza 1,Japonês,-23.554553592346764,-46.64688222467415,3,65669.97285714286,58263.79,66088.33849999991
ESTAB_034,24665841000141,Sushi Zen 2,Cafeteria,-23.562941593565004,-46.65824355080497,1,15316.479,16934.46,16326.879499999983
ESTAB_035,47385696000169,Sushi Zen 1,Japonês,-23.552159332658047,-46.64522099322596,3,65669.97285714286,72109.81,66316.65669999992
ESTAB_036,23141087000116,Sakura Premium 1,Self-Service,-23.54860899050976,-46.64543912796757,1,30931.588888888888,34285.85,33871.141800000056
ESTAB_037,32321899000162,Artisan Burger 4,Pizzaria,-23.55046048817909,-46.64382671403469,4,46147.81615384615,49195.42,48060.642799999965
ESTAB_038,32097220000158,Sabor do Ponto 4,Hamburgueria,-23.548604457793218,-46.64734611929618,1,40208.402727272725,44576.99,42241.361700000074
ESTAB_039,48285503000164,Sakura Premium 4,Pizzaria,-23.57070306398197,-46.66436897304758,2,46147.81615384615,38584.62,42720.04270000006
ESTAB_040,17849494000184,Sakura Premium 1,Hamburgueria,-23.57468504181277,-46.65337467216624,2,40208.402727272725,42838.77,38257.241600000016
ESTAB_041,77491435000177,Burger Master 1,Cafeteria,-23.57399665604278,-46.66532525117058,2,15316.479,14244.83,14200.436300000008
ESTAB_042,89864260000118,Sushi Zen 4,Self-Service,-23.548152116183125,-46.65380973769586,3,30931.588888888888,33877.34,33339.59949999998
ESTAB_043,87701200000186,Sabor do Ponto 5,Self-Service,-23.56382325253992,-46.65338983132126,1,30931.588888888888,32720.12,32832.10290000006
ESTAB_044,80166708000150,Café Vintage 2,Hamburgueria,-23.569239421421525,-46.65902642459626,3,40208.402727272725,44368.77,43645.543900000004
ESTAB_045,96637649000148,Artisan Burger 3,Self-Service,-23.57612053629348,-46.65226522233521,0,30931.588888888888,32796.74,32565.18520000006
ESTAB_046,85563727000122,Bella Pizza 5,Pizzaria,-23.56122345917853,-46.66692630288901,1,46147.81615384615,41851.88,48600.03090000003
ESTAB_047,56843172000118,Sushi Zen 3,Hamburgueria,-23.57166759502928,-46.64588765136081,4,40208.402727272725,43448.49,42228.43110000009
ESTAB_048,50603163000188,Sakura Premium 1,Cafeteria,-23.567418637434,-46.65099833855102,3,15316.479,13236.43,14221.343399999996
ESTAB_049,28024248000143,Bella Pizza 1,Cafeteria,-23.57173656270675,-46.66244731185627,2,15316.479,16674.75,14157.758700000017
ESTAB_050,38270233000153,Sushi Zen 3,Cafeteria,-23.56174404443552,-46.64373990526762,3,15316.479,16613.67,16012.506699999987
